"ID","Vaccine Name","Disease Name","Disease Classification","Virus Name","Nucleic Acid Content","Vaccine Type","Vaccine Status","Manufacturer","Year of Manufacturing","Manufacturing Country","Age","Dosage","Administration Route","Adjuvant","Target Strain","Description","Approving Organisation","Collaborating Organisation","Other Countries","Trade Name","PMID","Clinical Trial ID","Reference Link","Additional Links"
"10374","MRVAC","Measles, Rubella","Exanthous","Morbillivirus, Rubella virus","negative-sense, single-stranded RNA","Live-attenuated","Phase 3","Center for Research and Production of Vaccines and Biologicals","2018","Vietnam","1 - 45 years","NA","Subcutaneous","NA","Strain AIK-C measles virus clone with Takahashi rubella virus","NA","NA","NA","NA","NA","NA","NCT03713359","https://clinicaltrials.gov/ct2/show/NCT03713359?recrs=abde&cond=measles+vaccines&phase=123&draw=2&rank=54","NA"
"10375","OMB157","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 4","Novartis","2021","Germany","18 years and above","NA","Subcutaneous","NA","NA","NA","NA","NA","NA","Ofatumumab","NA","NCT04869358","https://clinicaltrials.gov/show/NCT04869358","https://www.ema.europa.eu/en/documents/assessment-report/kesimpta-epar-public-assessment-report_en.pdf"
"10376","Covishield","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Non-replicating viral vector","Phase 4","AstraZeneca plc, University of Oxford, Serum Institute of India","2020","UK","18 years and above","2 doses 4 to 12 weeks apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","ChAdOx1 technology","NA","University of Oxford","Japan, Korea, India","AZD1222,ChAdOx1 nCoV-19, ChAdOx1-S, COVID-19 Vaccine AstraZeneca, AstraZeneca COVID-19 Vaccine, AZD2816,Vaxzevria","NA","NA","https://vk.ovg.ox.ac.uk/vk/covid-19-vaccines","NA"
"10377","Lamb rotavirus","Rotavirus Infection","Gastrointestinal","Rotavirus","double stranded RNA","Live-attenuated","Phase 4","Lanzhou Biologicals","2000","China","6 months - 35 months","NA","Oral","NA","Single strain of rotavirus found in lamb (G10P)","NA","NA","NA","NA","NA","NA","NA","https://www.who.int/immunization/research/meetings_workshops/11_Cassels_Rotavirus_PDVAC_2019.pdf?ua=1","https://preventrotavirus.org/wp-content/uploads/2019/05/ROTA-Brief2-ProductLandscape-SP-1-3.pdf"
"10378","ROTAVIN-M1","Rotavirus Infection","Gastrointestinal","Rotavirus","double stranded RNA","Live-attenuated","Phase 4","Polyvac, Center for Research and Production of Vaccines","NA","Vietnam","6 months - 8 months","NA","Oral","NA","Human rotavirus strain (G1P)","NA","NA","NA","NA","NA","NA","NA","https://www.who.int/immunization/research/meetings_workshops/11_Cassels_Rotavirus_PDVAC_2019.pdf?ua=1","https://preventrotavirus.org/wp-content/uploads/2019/05/ROTA-Brief2-ProductLandscape-SP-1-3.pdf"
"10379","Bulgarian vaccine","Crimean-Congo haemorrhagic fever","Hemorrhagic","Nairovirus","negative-sense, single-stranded RNA","Inactivated","Preclinical","NA","1974","Union of Soviet Socialist Republics","16 years and above","NA","Subcutaneous","Aluminum (aluminium hydroxide)","NA","Prepared from brain tissue of CCHFV infected newborn mice","NA","NA","NA","Zabdeno, Mvabea","32461819","NA","https://www.liebertpub.com/doi/10.1089/biores.2019.0057","https://www.ema.europa.eu/en/documents/product-information/zabdeno-epar-product-information_en.pdf"
"10380","Trivalent combination vaccine","Norovirus Infection","Gastrointestinal","Norovirus","positive-sense, single-stranded RNA","Virus like particle","Preclinical","University of Tampere","2013","Finland","NA","NA","Intramuscular, Intranasal","NA","GII-4, GI-3 VLP, rVP6","Baculovirus expressed noroviruses VLPs","NA","NA","NA","NA","23922988","NA","https://www.cdc.gov/norovirus/downloads/global-burden-report.pdf","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3724941/"
"10381","Delta gD-2","Genital Herpes","Cutaneous","Herpes simplex virus ","double stranded DNA","Subunit vaccine","Preclinical","X-Vax Technology Inc.","NA","USA","NA","NA","Intramuscular","NA","Herpes simplex virus 2 glycoprotein D (gD-2)","NA","NA","NA","NA","NA","NA","NA","https://www.precisionvaccinations.com/vaccines/herpes-vaccine-candidates","https://www.frontiersin.org/articles/10.3389/fmicb.2021.798927/full"
"10382","EXD-12","Genital Herpes","Cutaneous","Herpes simplex virus ","double stranded DNA","Live-attenuated","Preclinical","Excell Biotech","2018","USA","14 - 49 years","NA","NA","NA","Herpes simplex virus 2 glycoprotein D (gD-2)","NA","NA","NA","NA","NA","NA","NA","https://www.precisionvaccinations.com/vaccines/herpes-vaccine-candidates","NA"
"10383","NanoVax","Genital Herpes","Cutaneous","Herpes simplex virus ","double stranded DNA","Subunit vaccine","Preclinical","BlueWillow Biologics","NA","USA","NA","NA","Intranasal","NA","Herpes simplex virus 2 glycoprotein D (gD-2)","NA","NA","NA","NA","NA","NA","NA","https://www.precisionvaccinations.com/vaccines/herpes-vaccine-candidates","NA"
"10384","RVx201","Genital Herpes","Cutaneous","Herpes simplex virus ","double stranded DNA","Live-attenuated","Preclinical","Rational Vaccines Inc.","2021","UK","NA","NA","NA","NA","HSV-2 infected cell protein","NA","NA","NA","NA","NA","NA","NA","https://www.precisionvaccinations.com/vaccines/herpes-vaccine-candidates","NA"
"10385","DeltaC-CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Preclinical","NA","NA","NA","NA","Single dose","Subcutaneous","NA","Capsid deletion","NA","NA","NA","NA","NA","31921059","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6930866/","NA"
"10386","Stop CHIKV SuperStop CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Preclinical","NA","NA","NA","NA","Single dose","Footpad injection","NA","NA","NA","NA","NA","NA","NA","31921059","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6930866/","NA"
"10387","DRDE-06","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Preclinical","NA","NA","NA","NA","3 doses","NA","NA","NA","Formalin inactivated produced in vero cells","NA","NA","NA","NA","NA","NA","https://academic.oup.com/jid/article/214/suppl_5/S488/2632628","NA"
"10388","CHIK-E1/E2","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Subunit vaccine","Preclinical","NA","NA","NA","NA","3 doses","NA","NA","E1/E2","Recombinant E1/E2 produced in E. coli","NA","NA","NA","NA","NA","NA","https://academic.oup.com/jid/article/214/suppl_5/S488/2632628","NA"
"10389","CHIK-E2","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Subunit vaccine","Preclinical","NA","NA","NA","NA","2 doses","NA","NA","E1","Recombinant E2 produced in E. coli","NA","NA","NA","NA","NA","NA","https://academic.oup.com/jid/article/214/suppl_5/S488/2632628","NA"
"10390","VLP-CHIKV-S27","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Virus like particle","Preclinical","NA","NA","NA","NA","2 doses","NA","NA","CHIKV proteins","Baculovirus-vectored CHIKV VLPs formulated with adjuvant","NA","NA","NA","NA","NA","NA","https://academic.oup.com/jid/article/214/suppl_5/S488/2632628","NA"
"10391","Chimeric alphavirus","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Preclinical","NA","NA","NA","NA","Single dose","NA","NA","CHIKV structural proteins","Recombinant alphavirus (EEEV, VEEV, SINV) with CHIKV structural proteins","NA","NA","NA","NA","NA","NA","https://academic.oup.com/jid/article/214/suppl_5/S488/2632628","NA"
"10392","CHIKV/IRES","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Preclinical","NA","NA","NA","NA","Single dose","NA","NA","CHIKV structural proteins","NA","NA","NA","NA","NA","NA","NA","https://academic.oup.com/jid/article/214/suppl_5/S488/2632628","NA"
"10393","VSV-CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Preclinical","NA","NA","NA","NA","Single dose","NA","NA","CHIKV structural proteins","NA","NA","NA","NA","NA","NA","NA","https://academic.oup.com/jid/article/214/suppl_5/S488/2632628","NA"
"10394","CAdVax-CHIK","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Recombinant viral vector","Preclinical","GenPhar Inc.","NA","NA","NA","Single dose","NA","NA","CHIKV structural proteins","Produced in HEK293 packaging cell line","NA","NA","NA","NA","NA","NA","https://academic.oup.com/jid/article/214/suppl_5/S488/2632628","https://www.sciencedirect.com/science/article/pii/S0264410X16300731"
"10395","MVA-CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Recombinant viral vector","Preclinical","NA","NA","NA","NA","Single dose","NA","NA","CHIKV structural proteins","NA","NA","NA","NA","NA","NA","NA","https://academic.oup.com/jid/article/214/suppl_5/S488/2632628","NA"
"10396","pMCE321","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","DNA based vaccine","Preclinical","NA","NA","NA","NA","NA","Intramuscular","NA","Sequence of E3, E2, and E1 genes under a CMV promoter","NA","NA","NA","NA","NA","NA","NA","https://academic.oup.com/jid/article/214/suppl_5/S488/2632628","NA"
"10397","iDNA","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","DNA based vaccine","Preclinical","NA","NA","NA","NA","NA","Intramuscular","NA","CHIKV strain 181/25","NA","NA","NA","NA","NA","NA","NA","https://academic.oup.com/jid/article/214/suppl_5/S488/2632628","NA"
"10398","DREP-Env","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","DNA based vaccine","Preclinical","NA","NA","NA","NA","NA","Intradermal","NA","CHIKV replicon (nsP1 to nsP4) and CHIKV envelope proteins (E1, E2, and E3)","NA","NA","NA","NA","NA","NA","NA","https://academic.oup.com/jid/article/214/suppl_5/S488/2632628","NA"
"10399","LR-E2-E79 K","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Preclinical","NA","NA","NA","NA","NA","NA","NA","Clinical strain LR attenuated by mutations in heparin sulfate binding domains","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10400","CHIKV TM17-2","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Preclinical","NA","NA","NA","NA","NA","NA","NA","Clinical strain attenuated by mutations in E2 transmembrane domain","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10401","CHIKV/IRES","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Preclinical","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10402","VSVdelG-CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Recombinant viral vector","Preclinical","NA","NA","NA","NA","NA","NA","NA","Glycoprotein-deficient VSV encoding CHIKV structural proteins","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10403","VEE/CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Recombinant viral vector","Preclinical","NA","NA","NA","NA","NA","NA","NA","Chimera consisting of VEEV nsP and CHIKV structural proteins","NA","NA","NA","NA","VEE/IRES-C/CHIKV","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10404","EILV/CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Recombinant viral vector","Preclinical","NA","NA","NA","NA","NA","NA","NA","Eilat virus nonstructural and CHIKV structural proteins","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10405","CAdVax-CHIK","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Recombinant viral vector","Preclinical","NA","NA","NA","NA","NA","NA","NA","Replication-deficient Ad5 encoding CHIKV structural proteins","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10406","MVA-6KE1E3E2","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Recombinant viral vector","Preclinical","NA","NA","NA","NA","NA","NA","NA","MVA encoding CHIKV structural proteins","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10407","MVA-E2E3","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Recombinant viral vector","Preclinical","NA","NA","NA","NA","NA","NA","NA","CHIKV envelope protein (E2, E3)","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10408","MVA-CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Recombinant viral vector","Preclinical","NA","NA","NA","NA","NA","Intraperitoneal","NA","CHIKV structural proteins (C, E3, E2, 6K, E1) into MVA","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10409","UV-CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Inactivated","Preclinical","NA","NA","NA","NA","NA","NA","NA","CHIKV proteins","Inactivated by UV-irradiation","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10410","BEI-CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Inactivated","Preclinical","NA","NA","NA","NA","NA","NA","NA","CHIKV proteins","Inactivated by binary ethyleneimine","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10411","Formalin-inactivated CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Inactivated","Preclinical","NA","NA","NA","NA","NA","NA","NA","CHIKV proteins","Inactivated by formalin","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10412","Tween/Ether-CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Inactivated","Preclinical","NA","NA","NA","NA","NA","NA","NA","CHIKV proteins","Inactivated by Tween 80 and ether","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10413","rCHIKVE1/E2","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Subunit vaccine","Preclinical","NA","NA","NA","NA","NA","NA","NA","Recombinant E1 and E2 proteins","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10414","rE2p","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Subunit vaccine","Preclinical","NA","NA","NA","NA","NA","NA","NA","Recombinant E2 protein","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10415","p181/25-7","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","DNA based vaccine","Preclinical","NA","NA","NA","NA","NA","NA","NA","CHIKV strain 181/25","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10416","CVM1-IgG","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","DNA based vaccine","Preclinical","NA","NA","NA","NA","NA","NA","NA","E2-reactive monoclonal antibody","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10417","pVax1-MCE321","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","DNA based vaccine","Preclinical","NA","NA","NA","NA","NA","NA","NA","CHIKV envelope proteins (E1, E2, and E3)","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10418","DREP-Env","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","DNA based vaccine","Preclinical","NA","NA","NA","NA","NA","Intradermal","NA","DNA replicon encoding nsP and E1, E2, E3","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10419","GII.4 P particles","Norovirus Infection","Gastrointestinal","Norovirus","positive-sense, single-stranded RNA","Virus like particle","Preclinical","Cincinnati Childrenâ€™s Hospital Medical Center","NA","USA","NA","NA","Intranasal","NA","P particles derived from HuNoV VP1","NA","NA","Southern Medical University, Virginia Polytechnic Institute and State University","NA","NA","NA","NA","https://www.mdpi.com/2076-393X/9/7/732/htm","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5851174/"
"10420","Plant-expressed GII.4 VLPs","Norovirus Infection","Gastrointestinal","Norovirus","positive-sense, single-stranded RNA","Virus like particle","Preclinical","Arizona State University","NA","USA","NA","NA","Intranasal","NA","HuNoV GII.4 VLP","NA","NA","NA","NA","NA","NA","NA","https://www.mdpi.com/2076-393X/9/7/732/htm","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4054422/"
"10421","GII.4 VLPs combined with EV71 VLPs","Norovirus Infection","Gastrointestinal","Norovirus","positive-sense, single-stranded RNA","Virus like particle","Preclinical","Institut Pasteur of Shanghai","NA","China","NA","NA","Intramuscular","NA","HuNoV GII.4 and enterovirus 71 VLPs","NA","NA","NA","NA","NA","NA","NA","https://www.mdpi.com/2076-393X/9/7/732/htm","NA"
"10422","Norovirus P particle and combination vaccines","Norovirus Infection","Gastrointestinal","Norovirus","positive-sense, single-stranded RNA","Subunit vaccine","Preclinical","Cincinnati Childrenâ€™s Hospital Medical Center","NA","USA","NA","NA","Intranasal","Chitosan, MPL and TNC buffer","P domains representing different GI and GII strains","Baculovirus vector in E.coli or yeast system","NA","NA","NA","NA","NA","NA","https://www.cdc.gov/norovirus/downloads/global-burden-report.pdf","NA"
